Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname,Propertycount,Price
3,t,Inmobiliaria Grupo Fincasa,03-09-2016,13.5,28014,3.0,2.0,1.0,303.0,225,2016.0,Cuzco,3464,840000
2,h,Inmobiliaria MetroCuadrado,03-09-2016,3.3,28021,2.0,1.0,0.0,120.0,82,1900.0,Ciudad Universitaria,3280,1275000
2,h,Alfa Inmobiliaria,03-09-2016,3.3,28016,2.0,1.0,0.0,159.0,inf,,Chamberí,3280,1455000
4,h,Inmobiliaria Barreras,03-09-2016,6.4,28031,3.0,2.0,4.0,853.0,263,1930.0,Latina,2211,2000000
3,h,Inmobiliaria Fincas Asesoria,03-09-2016,6.4,28004,3.0,2.0,2.0,208.0,inf,2013.0,Vicálvaro,2211,1110000
3,h,Inmobiliaria Fincas Asesoria,03-09-2016,13.8,28012,3.0,2.0,1.0,352.0,242,2015.0,Usera,5301,520000
5,h,Look & Find,03-09-2016,11.1,28018,5.0,3.0,6.0,592.0,251,1965.0,Paseo de la Castellana,5132,1085000
3,h,Inmobiliaria Activa,03-09-2016,11.1,28024,3.0,1.0,2.0,533.0,117,1970.0,Fuencarral-El Pardo,5132,781000
4,h,Tecnocasa,03-09-2016,11.1,28020,,,,,missing,,Usera,5132,857500
2,u,Inmobiliaria Interlar,03-09-2016,6.3,28028,2.0,1.0,1.0,50.0,76,1964.0,Villaverde,4836,599000
2,u,Alfa Inmobiliaria,03-09-2016,5.9,28028,3.0,1.0,2.0,50.0,missing,,Paseo de la Castellana,6567,455000
4,h,Inmobiliaria Zome,03-09-2016,11.0,28032,4.0,3.0,2.0,753.0,399,2015.0,Cuzco,3052,2650000
2,h,Look & Find,03-09-2016,11.0,28023,,,,,inf,,Malasaña,3052,1820000
2,h,Century 21,03-09-2016,12.2,28004,2.0,1.0,1.0,583.0,inf,1950.0,Villaverde,2894,995000
4,h,Gilmar,03-09-2016,10.5,28011,,,,,missing,,Chamberí,4502,1310000
3,h,Inmobiliaria Barreras,03-09-2016,10.5,28030,3.0,1.0,1.0,593.0,118,1970.0,Cuzco,4502,850000
3,h,Redpiso,03-09-2016,10.5,28017,3.0,1.0,1.0,50.0,103,1980.0,Salamanca,4502,750000
4,h,Engel & Völkers,03-09-2016,6.6,28028,3.0,2.0,1.0,244.0,180,1900.0,Centro,2952,1819000
2,h,Inmobiliaria Habita2,03-09-2016,9.7,28031,2.0,1.0,1.0,659.0,123,1920.0,Moratalaz,5682,2100000
4,h,Inmobiliaria Tecnorete,03-09-2016,9.7,28006,4.0,2.0,2.0,715.0,218,1985.0,Ciudad Universitaria,5682,1800000
2,t,Inmobiliaria Tecnorete,03-09-2016,9.7,28016,2.0,1.0,1.0,208.0,129,2000.0,Embajadores,5682,1255000
